algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.022499846241748615,0.01579861409823979,0.022179268692505357,0.015872609327145713,1.1059857360702705,1.1059857360702705,,1.0,0.016666666666666666,12,2,,alg2_coherence_block,2.8199691151263787e-05,1,48,576,,,,48,,,,0.0,,96,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.022129923959960513,0.020608047347427355,0.02209900864381537,0.019788085071111565,,,,1.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.015772504363954918,,48,576,,equal_total_overhead,,48,24,,,0.0,,96,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.003546292142642743,0.0031416851064762215,,,CDD-shifted PDP,1.0,0.016666666666666666,12,2,,alg1_direct_rmmse,0.0,,48,576,,,48,48,,48.0,576,8.0,,96,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.003592700622860539,0.0031922762165202756,0.0035462982114798304,0.0031419916628560272,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,-7.432157581552702e-06,,48,576,2,,48,48,,,,8.0,1,96,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.003592700622860539,0.0031922762165202756,0.0035462982114798304,0.0031419916628560272,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,-7.432157581552702e-06,,48,576,2,,48,48,,,,8.0,1,96,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.003592700622860539,0.0031922762165202756,0.0035462982114798304,0.0031419916628560272,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,-7.432157581552702e-06,,48,576,2,,48,48,,,,8.0,1,96,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.0035927041319077867,0.003192277679527576,0.003546301260672492,0.00314199377971122,1.1059857360702705,1.1059857360702705,,1.0,0.016666666666666666,12,2,,alg2_coherence_block,-1.1166324588234245e-05,1,48,576,,,,48,,,,8.0,,96,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.003916506508850398,0.003410799444955347,0.003938145176992026,0.0034580794503095763,,,,1.0,0.016666666666666666,12,2,,alg3_port_dmrs,-0.4551721225487887,,48,576,,equal_total_overhead,,48,24,,,8.0,,96,1.0,50
Alg1 Direct RMMSE WB 576sc,,43,19,,,,,,260.4166666666667,32,nan,nan,0.015814653417908456,0.015210976951733577,,,CDD-shifted PDP,1.0,0.1,2,2,,alg1_direct_rmmse,0.0,,48,576,,,288,288,,48.0,576,-6.0,,576,,50
Alg2 Basis LMMSE E90,0.9,43,19,,,,,,260.4166666666667,32,0.01587217104159922,0.01538760000932801,0.01581456092209368,0.015211441171988508,,1.0734550006754537,,1.0,0.1,2,2,1.99749308972305,alg2_basis_reduced_support,2.540083450939195e-05,,48,576,2,,288,288,,,,-6.0,1,576,,50
